Symbol,Entry,Exit,PnL,Return %,Reason
TCMD,20.759262411347517,20.759262411347517,0.0,0.0,HARD_STOP
EVLV,4.685383604568887,5.3,0.0,0.0,PYRAMID_ADD
EVLV,4.685383604568887,5.26,2842.0526918022842,12.264020279380826,PARTIAL_PROFIT_3R
APLD,4.86,7.05,6850.319999999996,45.06172839506171,PARTIAL_PROFIT_3R
APLD,5.493333333333333,6.76,0.0,0.0,PYRAMID_ADD
USD,8.5325,9.6075,2137.0999999999985,12.59888661002051,PARTIAL_PROFIT_3R
ELF,95.7,101.28,987.6599999999999,5.830721003134798,PARTIAL_PROFIT_3R
USD,9.077317298022127,10.1675,0.0,0.0,PYRAMID_ADD
ELF,98.6587924528302,104.61,0.0,0.0,PYRAMID_ADD
AI,35.99333333333333,32.76,0.0,0.0,PYRAMID_ADD
AI,35.99333333333333,32.76,-4539.600000000006,-8.983145026856832,HARD_STOP
INOD,12.07,11.76,-1423.8300000000017,-2.5683512841756406,
APLD,5.493333333333333,7.897664285714285,11281.120828571427,43.76816054091539,HARD_STOP
ORIC,7.29,8.4,2619.5999999999985,15.22633744855968,PARTIAL_PROFIT_3R
ORIC,7.693219429539678,8.5,0.0,0.0,PYRAMID_ADD
ORIC,7.693219429539678,7.693219429539678,0.0,0.0,HARD_STOP
BBIO,17.13,16.72,-1295.1900000000023,-2.393461762988913,HARD_STOP
ACAD,31.17742755765819,33.61,0.0,0.0,PYRAMID_ADD
ACAD,31.17742755765819,32.99,1531.6237137788303,5.813733153544232,PARTIAL_PROFIT_3R
EVLV,4.685383604568887,6.096928571428571,6982.9129510548555,30.12656136593033,HARD_STOP
ELF,98.6587924528302,111.40651428571428,3378.1462857142833,12.921019521882847,HARD_STOP
ACAD,31.17742755765819,31.17742755765819,0.0,0.0,HARD_STOP
BZH,30.4,33.63,1879.8600000000006,10.625000000000018,PARTIAL_PROFIT_3R
BZH,31.506666666666668,33.72,0.0,0.0,PYRAMID_ADD
USD,9.077317298022127,10.6919375,4816.412062499996,17.787416138132418,HARD_STOP
BZH,31.506666666666668,31.506666666666668,0.0,0.0,HARD_STOP
IMVT,32.29,39.515,3930.4000000000015,22.375348405078977,PARTIAL_PROFIT_3R
IMVT,34.71666666666667,39.57,0.0,0.0,PYRAMID_ADD
SLNO,22.51,29.51,5649.0,31.097290093291875,PARTIAL_PROFIT_3R
IMVT,34.71666666666667,34.71666666666667,0.0,0.0,HARD_STOP
SLNO,24.458388429752066,28.36,0.0,0.0,PYRAMID_ADD
SLNO,24.458388429752066,24.458388429752066,0.0,0.0,HARD_STOP
NPKI,7.25,6.92,-2589.1800000000003,-4.551724137931035,HARD_STOP
CRNX,34.54,36.07,2492.3700000000026,4.4296467863346844,
DJT,29.33,50.75,13344.66,73.0310262529833,PARTIAL_PROFIT_3R
DJT,34.29800856531049,44.25,0.0,0.0,PYRAMID_ADD
DJT,34.29800856531049,34.29800856531049,0.0,0.0,HARD_STOP
EVER,13.7,13.13,-2494.889999999992,-4.160583941605833,HARD_STOP
LRMR,6.5032499999999995,8.74,10213.000500000006,34.394341290893024,PARTIAL_PROFIT_3R
LRMR,7.493271840148697,10.84,0.0,0.0,PYRAMID_ADD
MAX,17.1,19.95,3642.2999999999956,16.66666666666665,PARTIAL_PROFIT_3R
MAX,18.049504692387902,19.95,0.0,0.0,PYRAMID_ADD
DAVE,28.647630004601933,32.5,0.0,0.0,PYRAMID_ADD
DAVE,28.647630004601933,37.1,9179.2738150023,29.504604723114227,PARTIAL_PROFIT_3R
LRMR,7.493271840148697,9.8436,13909.242050000008,31.365846722099743,HARD_STOP
MAX,18.049504692387902,18.898964285714282,1629.2634999999937,4.706276475745219,HARD_STOP
DAVE,28.647630004601933,30.711378571428572,2243.2946921405564,7.203906803093729,HARD_STOP
FIP,6.38,6.28,-1080.199999999997,-1.5673981191222541,HARD_STOP
ADMA,8.376746091780133,8.75,0.0,0.0,PYRAMID_ADD
ADMA,8.376746091780133,9.16,3106.3849999999948,9.350336033086325,PARTIAL_PROFIT_3R
PRM,7.82,7.615,-1882.9249999999884,-2.621483375959077,HARD_STOP
TLN,124.5764005586592,131.62,0.0,0.0,PYRAMID_ADD
TLN,124.5764005586592,131.43,3063.5589502793446,5.501523089931992,PARTIAL_PROFIT_3R
RDW,7.686666666666667,8.16,0.0,0.0,PYRAMID_ADD
RDW,7.686666666666667,7.686666666666667,0.0,0.0,HARD_STOP
TLN,124.5764005586592,124.5764005586592,0.0,0.0,HARD_STOP
ADMA,8.376746091780133,12.585692857142856,16692.682871428566,50.24560514604646,HARD_STOP
RSI,10.515255,9.05,-10249.458724999997,-13.934564592109266,
REAX,6.67,6.41,-2774.199999999997,-3.8980509745127456,
PNTG,35.96,35.36,-1176.6000000000058,-1.6685205784204737,HARD_STOP
SMTC,46.12,45.66,-703.3399999999965,-0.9973980919340875,DEAD_MONEY_STOP
FTAI,130.49,131.65,626.3999999999942,0.8889570081998643,DEAD_MONEY_STOP
EVGO,5.07,7.2,9482.759999999998,42.01183431952662,PARTIAL_PROFIT_3R
EVGO,5.743333333333334,7.09,0.0,0.0,PYRAMID_ADD
WVE,12.045,14.61,5245.424999999996,21.29514321295143,PARTIAL_PROFIT_3R
SMR,14.92,18.02,5118.100000000002,20.7774798927614,PARTIAL_PROFIT_3R
WVE,12.916666666666666,14.66,0.0,0.0,PYRAMID_ADD
SMR,15.906666666666666,17.88,0.0,0.0,PYRAMID_ADD
WGS,66.6,83.2,6689.799999999999,24.92492492492493,PARTIAL_PROFIT_3R
SFM,120.0,128.43,2883.060000000005,7.025000000000015,PARTIAL_PROFIT_3R
WGS,71.80802980132451,82.25,0.0,0.0,PYRAMID_ADD
SFM,123.40333333333334,130.21,0.0,0.0,PYRAMID_ADD
EVGO,5.743333333333334,6.47,4852.679999999993,12.652350551363888,HARD_STOP
PAYO,9.718744493392071,10.55,0.0,0.0,PYRAMID_ADD
PAYO,9.718744493392071,10.81,4706.584999999999,11.228358841513852,PARTIAL_PROFIT_3R
WGS,71.80802980132451,71.80802980132451,0.0,0.0,HARD_STOP
INOD,30.335,45.9,15066.919999999995,51.31036756222185,PARTIAL_PROFIT_3R
BTBT,5.03,5.52,3027.709999999992,9.74155069582503,PARTIAL_PROFIT_3R
INOD,30.335,39.486092857142864,8858.25788571429,30.166780475170142,HARD_STOP
BTBT,5.03,4.93,-618.0000000000036,-1.988071570576555,HARD_STOP
WVE,12.916666666666666,14.102564285714285,3639.5197928571433,9.181142857142866,HARD_STOP
CRDO,64.445,69.01,2177.5050000000083,7.083559624486013,PARTIAL_PROFIT_3R
CRDO,66.02999999999999,69.2,0.0,0.0,PYRAMID_ADD
CRDO,66.02999999999999,66.02999999999999,0.0,0.0,HARD_STOP
SFM,123.40333333333334,145.82743571428574,11503.564521428576,18.171391140935466,HARD_STOP
PAYO,9.718744493392071,10.193907142857142,2049.376507142857,4.889136140868211,HARD_STOP
DOCU,96.0,102.26,2028.2400000000052,6.520833333333331,PARTIAL_PROFIT_3R
SMR,15.906666666666666,22.051721428571426,15227.44569999999,38.63194527601483,HARD_STOP
DOCU,97.66324435318275,101.0,0.0,0.0,PYRAMID_ADD
DOCU,97.66324435318275,97.66324435318275,0.0,0.0,HARD_STOP
REAL,7.41,9.06,6840.9000000000015,22.267206477732792,PARTIAL_PROFIT_3R
REAL,8.053333333333333,9.34,0.0,0.0,PYRAMID_ADD
QUBT,19.22,17.6,-5219.639999999992,-8.42872008324661,HARD_STOP
REAL,8.053333333333333,8.9738,5724.382200000015,11.429635761589418,HARD_STOP
ANGO,11.76,12.77,2642.16,8.588435374149661,PARTIAL_PROFIT_3R
ANGO,12.07991847133758,12.72,0.0,0.0,PYRAMID_ADD
ANGO,12.07991847133758,12.07991847133758,0.0,0.0,HARD_STOP
RDW,15.96,21.65,11038.599999999999,35.651629072681686,PARTIAL_PROFIT_3R
RDW,17.866666666666667,21.68,0.0,0.0,PYRAMID_ADD
TVTX,21.9,21.27,-2941.4699999999866,-2.876712328767117,HARD_STOP
DOCS,72.5,83.14,4819.919999999998,14.675862068965518,PARTIAL_PROFIT_3R
DOCS,74.41384388807069,78.25,0.0,0.0,PYRAMID_ADD
DOCS,74.41384388807069,74.41384388807069,0.0,0.0,HARD_STOP
LEU,100.79,112.57,0.0,0.0,PYRAMID_ADD
LEU,100.79,114.0,6855.989999999998,13.106458974104562,PARTIAL_PROFIT_3R
TVTX,21.68,24.07,11971.51000000001,11.023985239852397,
INTA,70.34502486522315,74.85,0.0,0.0,PYRAMID_ADD
INTA,70.34502486522315,72.33,2245.0068774326064,2.8217704643362262,PARTIAL_PROFIT_3R
INTA,70.34502486522315,70.34502486522315,0.0,0.0,HARD_STOP
RDW,17.866666666666667,18.690907142857142,2398.5397857142816,4.613286247334747,HARD_STOP
LEU,100.79,100.79,0.0,0.0,HARD_STOP
ORGO,4.06,5.41,11203.650000000009,33.251231527093616,PARTIAL_PROFIT_3R
ORGO,4.51,5.41,0.0,0.0,PYRAMID_ADD
ORGO,4.51,4.813057142857143,3773.0614285714255,6.719670573329117,HARD_STOP
BJ,112.9614525,113.09,123.27705250000872,0.11379766916508327,HARD_STOP
TDUP,5.39,6.102816071428572,9212.434907142873,13.224787967134933,HARD_STOP
DAVE,134.7,152.365,9309.455000000016,13.114328136599873,HARD_STOP
URBN,70.95,75.26,2198.100000000006,6.074700493305141,PARTIAL_PROFIT_3R
URBN,72.55333333333334,75.76,0.0,0.0,PYRAMID_ADD
URBN,72.55333333333334,72.55333333333334,0.0,0.0,HARD_STOP
CRWD,466.7366666666667,490.71,0.0,0.0,PYRAMID_ADD
CRWD,466.7366666666667,485.16,3426.7400000000052,3.9472650530991915,PARTIAL_PROFIT_3R
APPS,5.54,6.74,8030.4000000000015,21.66064981949458,PARTIAL_PROFIT_3R
APPS,5.9732901683434605,6.84,0.0,0.0,PYRAMID_ADD
APPS,5.9732901683434605,5.9732901683434605,0.0,0.0,HARD_STOP
CRWD,466.7366666666667,466.7366666666667,0.0,0.0,HARD_STOP
IDXX,662.24,643.73,-2073.1199999999953,-2.7950591930417934,HARD_STOP
MLYS,22.64,29.25,10827.18,29.196113074204955,PARTIAL_PROFIT_3R
MLYS,24.903333333333332,29.43,0.0,0.0,PYRAMID_ADD
